memberid,schemeid,levelid,sec_type,sec_parameter,created,updated,group_sec_parameter
11454,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:12:41.015004Z,2023-11-14T09:12:41.015004Z,Active-People
15141,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:28:31.680379Z,2023-11-14T12:28:31.680379Z,Active-People
15384,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:46:44.442373Z,2023-11-14T12:46:44.442373Z,Active-People
10883,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:51:34.817745Z,2023-11-14T08:51:34.817745Z,Active-People
11793,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:27:50.915099Z,2023-11-14T09:27:50.915099Z,Active-People
14862,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:07:19.77313Z,2023-11-14T12:07:19.77313Z,Active-People
14310,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:17:45.163151Z,2023-11-14T11:17:45.163151Z,Active-People
13056,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:13:59.897241Z,2023-11-14T10:13:59.897241Z,Active-People
13587,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:32:20.207249Z,2023-11-14T10:32:20.207249Z,Active-People
11991,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:35:23.04015Z,2023-11-14T09:35:23.04015Z,Active-People
13353,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:24:00.252206Z,2023-11-14T10:24:00.252206Z,Active-People
12957,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:10:12.873639Z,2023-11-14T10:10:12.873639Z,Active-People
13902,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:45:06.76967Z,2023-11-14T10:45:06.76967Z,Active-People
14871,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:08:02.266333Z,2023-11-14T12:08:02.266333Z,Active-People
11535,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:15:27.347035Z,2023-11-14T09:15:27.347035Z,Active-People
14319,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:18:36.69516Z,2023-11-14T11:18:36.69516Z,Active-People
12264,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:44:00.674755Z,2023-11-14T09:44:00.674755Z,Active-People
13182,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:17:21.27644Z,2023-11-14T10:17:21.27644Z,Active-People
12885,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:07:23.173267Z,2023-11-14T10:07:23.173267Z,Active-People
10173,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:22:17.034795Z,2023-11-14T08:22:17.034795Z,Active-People
15375,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:45:47.034395Z,2023-11-14T12:45:47.034395Z,Active-People
14880,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:08:21.708187Z,2023-11-14T12:08:21.708187Z,Active-People
10640,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:41:58.680926Z,2023-11-14T08:41:58.680926Z,Active-People
10433,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:32:10.183997Z,2023-11-14T08:32:10.183997Z,Active-People
10370,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:29:45.607873Z,2023-11-14T08:29:45.607873Z,Active-People
13596,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:32:27.602671Z,2023-11-14T10:32:27.602671Z,Active-People
10676,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:43:09.563704Z,2023-11-14T08:43:09.563704Z,Active-People
11018,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T08:57:03.63861Z,2023-11-14T08:57:03.63861Z,Active-People
14328,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T11:19:10.020409Z,2023-11-14T11:19:10.020409Z,Active-People
14889,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:09:14.599039Z,2023-11-14T12:09:14.599039Z,Active-People
13911,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:45:08.331973Z,2023-11-14T10:45:08.331973Z,Active-People
11346,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:08:03.11668Z,2023-11-14T09:08:03.11668Z,Active-People
12273,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:44:21.091404Z,2023-11-14T09:44:21.091404Z,Active-People
12000,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:35:37.207055Z,2023-11-14T09:35:37.207055Z,Active-People
13362,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T10:24:02.180867Z,2023-11-14T10:24:02.180867Z,Active-People
11802,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:27:54.069481Z,2023-11-14T09:27:54.069481Z,Active-People
11265,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T09:05:08.201843Z,2023-11-14T09:05:08.201843Z,Active-People
14898,10001,10002,group,323c26c5-9625-44d1-842f-129a737dab76,2023-11-14T12:09:52.256356Z,2023-11-14T12:09:52.256356Z,Active-People
